index,vocab
1217,SNORA30
1218,RPL7AP26
1219,CDK2AP1
1220,DDX11-AS1
1221,SIRPG
1222,C10ORF82
1223,CLEC4M
1224,MIR3662
1225,NBN
1226,ZFP82
1227,RPSAP31
1228,CST7
1229,ATP6V1C1
1230,CPA6
1231,PLGRKT
1232,IL17RB
1233,CCDC178
1234,IFT74
1235,CLEC5A
1236,CYP4A22
1237,TRDV2
1238,C2CD4D-AS1
1239,EDEM2
1240,CLK3
1241,ADHFE1
1242,KDR
1243,BLACAT1
1244,ATP2B1-AS1
1245,MANCR
1246,DHX57
1247,HNRNPA3P1
1248,TRIM39-RPP21
1249,SLC9A8
1250,IL8
1251,PRR36
1252,LTN1
1253,LCOR
1254,RHOG
1255,TUBGCP6
1256,WNT2B
1257,TKFC
1258,ASH1L
1259,FABP6
1260,TNRC6C
1261,PRRG3
1262,ZNF252
1263,TMCO5
1264,NPIPA5
1265,LPA
1266,USP30
1267,RNF166
1268,LINC00968
1269,CKMT2-AS1
1270,RER1
1271,NFKBIL1
1272,SRSF5
1273,FOXO4
1274,NPFF
1275,SEK-1
1276,ANKRD53
1277,SLC50A1
1278,BCL2L2
1279,SNAPC4
1280,OFCC1
1281,CSF3R
1282,EFNA2
1283,SLC6A14
1284,LINC00652
1285,PKD2
1286,EWSR1
1287,KIAA2013
1288,TNFRSF18
1289,PCSK2
1290,KRT31
1291,PSMB4
1292,FAM90A1
1293,PLPPR4
1294,KCNJ2
1295,MNX1-AS1
1296,GJA10
1297,LINC00605
1298,TMEM163
1299,CNOT3
1300,CFAP161
1301,ETFDH
1302,NFAT5
1303,OR13C5
1304,ZNF433-AS1
1305,FRMPD4
1306,CREBL2
1307,DMBT1P1
1308,SNORD116-14
1309,ANKH
1310,NLGN3
1311,TRGJP1
1312,COLEC10
1313,CILP
1314,KRTAP8-1
1315,PIK3R4
1316,LRMDA
1317,ELL2
1318,LINC00559
1319,RPS27AP5
1320,MRAP2
1321,CUTC
1322,LINC02613
1323,FKBP9P1
1324,ZNRF2
1325,GDI1
1326,IL1RL1
1327,HIST2H4
1328,BRDT
1329,ABCC12
1330,CAPZA2
1331,GDPD5
1332,PDE4D
1333,RPS27AP17
1334,BOD1L1
1335,PRXL2A
1336,MIR362
1337,FBXL12
1338,ZNF75A
1339,VCP
1340,FLT1
1341,CCL20
1342,PPP1R14D
1343,BEX3
1344,NEGR1
1345,MIR4749
1346,BRWD1
1347,TMEM64
1348,MANEAL
1349,NDUFAF1
1350,IRX6
1351,LINC00921
1352,PRAMEF19
1353,TCERG1L
1354,CYP2A4
1355,PRAMEF14
1356,MIR1468
1357,DECR1
1358,KPTN
1359,HSD17B3
1360,RNA5SP451
1361,MAPRE2
1362,COL5A1-AS1
1363,TUSC1
1364,CA12
1365,PIAS4
1366,MLXIP
1367,C6ORF52
1368,API5P1
1369,OR2T34
1370,UCP1
1371,LNCOG
1372,SMARCA5
1373,NOX2
1374,TIGIT
1375,NKPD1
1376,PARVB
1377,FAM25BP
1378,PRSS30P
1379,SLC35B4
1380,UPK3A
1381,SUPT4H1
1382,HORMAD2-AS1
1383,TMEM239
1384,FXYD7
1385,EIF3FP2
1386,SEPT5
1387,LYPLAL1-AS1
1388,NGB
1389,HMG20A
1390,TERF1
1391,PCSK7
1392,RANBP3
1393,EFNB3
1394,SLC12A8
1395,SP9
1396,PRPF40A
1397,CHTF8
1398,UGGT1
1399,ALOX12
1400,BAIAP3
1401,USP31
1402,SLC38A11
1403,LY6G6F
1404,ASS1
1405,POU4F3
1406,KIFC2
1407,GPN2
1408,LINC01441
1409,VSIR
1410,EMSY
1411,MORC2-AS1
1412,HMG1
1413,TADA2B
1414,MAGEB1
1415,SLC5A12
1416,GPR182
1417,NEFH
1418,CYP4F24P
1419,GAMT
1420,LINC01753
1421,BRAT1
1422,FOXI3
1423,PTBP2
1424,OR9K2
1425,ZBTB10
1426,MIA3
1427,PWAR4
1428,CD38
1429,TCF3
